Kode SDS,Nama Data,,Konsep,,Definisi,Penyajian,Isian,Ukuran,Satuan,,
10110077,Persentase Komuter,,[K00957] Komuter;,,Bagian dari penduduk berumur 5 tahun ke atas yang setiap hari melakukan perjalanan rutin dari/ke tempat kegiatan di luar kabupaten/ kota tempat tinggalnya.,"[32010026] Wilayah;
[32020020] Klasifikasi Wilayah;",-,Persentase,persen,,
10110078,Persentase Migran Keluar Seumur Hidup,,[K01183] Migran Seumur Hidup;,,"Bagian dari seluruh penduduk pada suatu wilayah, yang tercatat telah pindah ke luar wilayah tempat tinggal semula.","[32010026] Wilayah;
[32020020] Klasifikasi Wilayah;",-,Persentase,persen,,
10110079,Persentase Migran Keluar Total,,[K01180] Migran;,,"Bagian dari seluruh penduduk di suatu wilayah administrasi, yang tercatat pernah menetap tetapi sudah pindah ke luar wilayah tersebut.","[32010026] Wilayah;
[32020020] Klasifikasi Wilayah;",-,Persentase,persen,,
10110034,Persentase Migran Masuk Risen,,[K01182] Migran Risen;,,Bagian dari populasi  penduduk umur lima tahun ke atas di suatu wilayah administrasi yang lima tahun sebelumnya bertempat tinggal di wilayah administrasi yang berbeda.,"[32010026] Wilayah;
[32020020] Klasifikasi Wilayah;",-,Persentase,persen,,
10110035,Persentase Migran Masuk Total,,[K01180] Migran;,,"Bagian dari seluruh penduduk di suatu wilayah yang berasal dari luar wilayah tersebut, atau wilayah administrasi tempat tinggal sebelumnya berbeda dengan wilayah","[32010026] Wilayah;
[32020020] Klasifikasi Wilayah;",-,Persentase,persen,,
,,,,,administrasi tempat tinggal saat pendataan.,,,,,,
10110036,Persentase Migran Neto Seumur Hidup,,[K01183] Migran Seumur Hidup;,,Perbandingan selisih jumlah migran masuk seumur hidup dan migran keluar seumur hidup terhadap penduduk yang memiliki peluang bermigrasi pada suatu wilayah.,"[32010026] Wilayah;
[32020020] Klasifikasi Wilayah;",-,Persentase,persen,,
10110037,Persentase Perempuan Berusia 20—24 Tahun yang Menikah Sebelum Berusia 18 Tahun,,[K01647] Perempuan; [K01692] Pernikahan/ Perkawinan;,,Bagian dari penduduk perempuan berusia 20—24 tahun yang kawin pertama atau hidup bersama pasangannya pertama kali sebelum berusia 18 tahun.,[32010026] Wilayah;,-,Persentase,persen,,
10110080,Persentase Remitansi Pekerja Migran Indonesia terhadap Produk Domestik Bruto (PDB),,[K01877] Remitansi; [K01310] Pekerja Migran Indonesia; [K01775] Produk Domestik Bruto (PDB);,,Perbandingan transfer uang yang dilakukan oleh pekerja migran Indonesia (PMI) dalam dolar Amerika Serikat terhadap produk domestik bruto (PDB).,[32010026] Wilayah;,-,Persentase,persen,,
10110039,Rasio Kepadatan Penduduk,,[K01476] Penduduk;,,Angka yang menyatakan banyaknya penduduk di setiap satu kilometer persegi yang dihitung dengan perbandingan antara banyaknya penduduk terhadap luas wilayah.,[32010026] Wilayah;,-,Rasio,orang per kilometer persegi,,
10110040,Rasio Stok Migran Internasional,,[K01180] Migran;,,Perbandingan total penduduk berkewarganegaraan asing yang tinggal di Indonesia saat pendataan terhadap total penduduk Indonesia.,"[32010026] Wilayah;
[33220007] Jenis
Kelamin;",-,Rasio,-,,
10210070,Distribusi Persentase Tenaga Kerja,,[K02159] Tenaga Kerja;,,Bagian dari populasi penduduk yang mampu melakukan pekerjaan guna menghasilkan barang dan/atau jasa yang disajikan menurut gologan tertentu.,"[22020004] Jenis
Lapangan Usaha;",-,Persentase,persen,,
10210002,Indeks Hari Orang,,[K01306] Pekerja;,,Angka yang menunjukkan jumlah hari dan pekerja harian yang dibutuhkan untuk menyelesaikan satu pekerjaan.,[32010026] Wilayah;,-,Indeks,-,,
10210014,Jumlah Ahli Keselamatan dan Kesehatan Kerja (K3),,[K00016] Keselamatan dan Kesehatan Kerja (K-3);,,Banyaknya tenaga teknis berkeahlian khusus dari luar instansi ketenagakerjaan yang mendapatkan,"[32010026] Wilayah;
[33220007] Jenis
Kelamin;",-,Total,orang,,
,,,,,lisensi dari Menteri Ketenagakerjaan untuk melakukan pengawasan atas pelaksanaan peraturan perundang- undangan bidang ketenagakerjaan yang terkait dengan keselamatan dan kesehatan kerja.,,,,,,
10210015,Jumlah Angkatan Kerja,,[K00117] Angkatan Kerja;,,"Banyaknya penduduk usia kerja (15 tahun ke atas) yang bekerja, atau punya pekerjaan namun sementara tidak bekerja dan pengangguran.","[32010026] Wilayah;
[10320055] Tingkat Pendidikan;",-,Total,orang,,
10210090,Jumlah Hari Kerja,,[K02356] Hari Kerja;,,Banyaknya waktu yang digunakan pekerja untuk melakukan pekerjaannya.,[32010026] Wilayah;,-,Waktu,hari,,
10210019,Jumlah Jam Kerja,,[K00667] Jam Kerja;,,Banyaknya waktu (dalam jam) yang digunakan untuk bekerja pada pekerjaan utama dan seluruh pekerjaan tambahan (tidak termasuk waktu istirahat).,[32010026] Wilayah;,-,Waktu,jam,,
