Kode SDS,Nama Data,,Konsep,,Definisi,Penyajian,Isian,Ukuran,Satuan,,
10810051,Proporsi Penduduk yang Merasa Aman Berjalan Sendirian di Area Tempat Tinggalnya,,[K01476] Penduduk;,,"Bagian dari penduduk yang merasa aman berjalan sendirian di area tempat tinggalnya, baik pada siang hari maupun malam hari.","[32010026] Wilayah;
[33220007] Jenis
Kelamin;",-,Proporsi,-,,
10810054,Proporsi Rumah Tangga yang Memiliki Anak Berumur 1—14 Tahun yang Mengalami Hukuman Fisik dan/atau Agresi Psikologis dari Pengasuh,,"[K01925] Rumah Tangga; [K00091] Anak;
[K00812] Kekerasan Fisik;
[K00811] Kekerasan Emosional;",,Bagian dari populasi rumah tangga yang memiliki anak berumur 1—14 tahun yang mengalami hukuman fisik dan/atau agresi psikologis dari pengasuh.,"[32010026] Wilayah;
[32020020] Klasifikasi Wilayah;",-,Proporsi,-,,
10810081,Proporsi Wanita dan Anak Perempuan Mengalami Kekerasan Emosional oleh Pasangan atau Mantan Pasangan,,[K01647] Perempuan; [K00811] Kekerasan Emosional;,,Bagian dari perempuan dewasa dan anak perempuan yang mengalami kekerasan emosional oleh pasangan atau mantan pasangan.,"[32010026] Wilayah;
[32020020] Klasifikasi Wilayah;",-,Proporsi,-,,
10810052,Proporsi Wanita dan Anak Perempuan Mengalami Kekerasan Fisik oleh Pasangan atau Mantan Pasangan,,[K01647] Perempuan; [K00812] Kekerasan Fisik;,,Bagian dari perempuan dewasa dan anak perempuan yang mengalami kekerasan fisik oleh pasangan atau mantan pasangan.,"[32010026] Wilayah;
[32020020] Klasifikasi Wilayah;",-,Proporsi,-,,
10810082,Proporsi Wanita dan Anak Perempuan Mengalami Kekerasan Seksual oleh Pasangan atau Mantan Pasangan,,[K01647] Perempuan; [K00813] Kekerasan Seksual;,,Bagian dari perempuan dewasa dan anak perempuan yang mengalami kekerasan seksual oleh pasangan atau mantan pasangan.,"[32010026] Wilayah;
[32020020] Klasifikasi Wilayah;",-,Proporsi,-,,
10810023,Rata-rata Konsumsi Narkoba,,[K01208] Narkotika; [K01828] Psikotropika;,,"Rata-rata penggunaan atau pemakaian narkotika, psikotropika, dan obat/bahan berbahaya oleh penyalah guna narkoba.","[32010026] Wilayah;
[33220007] Jenis
Kelamin;
[10120066] Umur/Usia;",-,Rata-rata,gram,,
10810056,Selang Waktu Terjadinya Kejahatan/Crime Clock,,[K00804] Kejahatan;,,Jangka waktu atau interval waktu terjadinya satu tindak kejahatan dengan kejahatan yang lain.,[32010026] Wilayah;,-,Waktu,detik,,
10810057,Tingkat Risiko Penduduk Terkena Kejahatan/Crime Rate,,[K01476] Penduduk; [K00804] Kejahatan;,,Angka yang menggambarkan risiko terjadinya sejumlah tindak kejahatan pada setiap 100.000 orang penduduk.,[32010026] Wilayah;,-,Tingkat,kejahatan perseratus ribu penduduk,,
10910002,Durasi Membaca,,[K01112] Literasi;,,Lamanya waktu membaca yang dilakukan dalam satu hari.,[32010026] Wilayah;,-,Waktu,menit,,
10910004,Frekuensi Membaca,,[K01112] Literasi;,,"Kekerapan membaca bahan bacaan dalam seminggu dari berbagai media, baik dalam bentuk  cetak, noncetak, elektronik, audiovisual, maupun dalam bentuk lainnya.",[32010026] Wilayah;,-,Frekuensi,kali per minggu,,
10910005,Indeks Kegemaran Membaca,,[K01112] Literasi;,,Angka yang dapat menggambarkan tingkat perilaku atau kebiasaan masyarakat  dalam memperoleh pengetahuan dan informasi dari berbagai bentuk media yang dilakukan secara mandiri dalam jangka waktu tertentu.,"[32010026] Wilayah;
[10920007] Jenis
Perpustakaan;",-,Indeks,-,,
10910084,Indeks Pemerataan Layanan Perpustakaan,,"[K01694]
Perpustakaan;",,Angka yang menggambarkan ketersediaan perpustakaan yang beroperasi sesuai dengan target segmentasi penggunanya.,"[32010026] Wilayah;
[10920007] Jenis
Perpustakaan;",-,Indeks,-,,
10910011,Jumlah Bahan Perpustakaan,,[K00198] Bahan Perpustakaan;,,"Banyaknya hasil karya tulis, karya cetak, dan/atau karya rekam.",[32010026] Wilayah;,-,Total,bahan perpustakaan,,
10910094,Jumlah Bahasa Daerah,,[K00201] Bahasa;,,"Banyaknya sistem lambang bunyi arbitrer yang digunakan oleh anggota suatu masyarakat di suatu daerah untuk bekerja sama, berinteraksi, dan mengidentifikasikan diri.",[32010026] Wilayah;,-,Total,bahasa,,
10910014,Jumlah Buku Dibaca,,[K01112] Literasi;,,Banyaknya bahan bacaan berbentuk tercetak atau elektronik/digital yang bisa ditamatkan dalam periode tertentu.,[32010026] Wilayah;,-,Total,buku,,
10910095,Jumlah Dialek Bahasa Daerah,,[K02349] Dialek; [K00201] Bahasa;,,"Banyaknya variasi bahasa yang berbeda-beda sesuai pemakainya yang dipengaruhi asal daerah, kelompok sosial, atau kurun waktu tertentu.",[32010026] Wilayah;,-,Total,dialek,,
10910015,Jumlah Jemaah Haji,,[K00697] Jemaah Haji;,,Banyaknya warga negara Indonesia yang beragama Islam dan telah mendaftarkan diri untuk menunaikan ibadah haji sesuai dengan persyaratan yang ditetapkan.,[32010026] Wilayah;,-,Total,orang,,
10910017,Jumlah Naskah Kuno,,[K01210] Naskah Kuno;,,"Banyaknya dokumen tertulis yang tidak dicetak atau tidak diperbanyak dengan cara lain, baik yang berada di dalam negeri maupun di luar negeri yang berumur sekurang-kurangnya 50 (lima puluh) tahun, dan yang mempunyai nilai penting bagi kebudayaan nasional, sejarah, dan ilmu pengetahuan.",[32010026] Wilayah;,-,Total,naskah,,
10910096,Jumlah Perpustakaan,,"[K01694]
Perpustakaan;",,"Banyaknya institusi pengelola koleksi karya tulis, karya cetak, dan/atau karya rekam secara profesional dengan sistem yang baku guna memenuhi kebutuhan pendidikan, penelitian, pelestarian, informasi, dan rekreasi para pemustaka dari berbagai jenis perpustakaan.","[32010026] Wilayah;
[10920059] Predikat Akreditasi Perpustakaan; [10920007] Jenis
Perpustakaan; [10320055] Tingkat Pendidikan;",-,Total,perpustakaan,,
10910097,Jumlah Perpustakaan yang Tergabung dalam Jejaring Nasional Perpustakaan.,,"[K01694]
Perpustakaan;",,"Banyaknya institusi pengelola koleksi karya tulis, karya cetak, dan/atau karya rekam secara profesional dengan sistem yang baku guna memenuhi kebutuhan pendidikan, penelitian, pelestarian, informasi, dan rekreasi para pemustaka yang tergabung dalam jejaring nasional perpustakaan.","[32010026] Wilayah;
[10920007] Jenis
Perpustakaan;",-,Total,perpustakaan,,
10910031,Persentase Anak Berumur 5—17 Tahun yang Mengunjungi Perpustakaan atau Memanfaatkan Taman Bacaan Masyarakat,,"[K00091] Anak; [K01694]
Perpustakaan; [K01112] Literasi;",,Bagian dari populasi anak berumur 5—17 tahun yang pernah mengunjungi perpustakaan (baik perpustakaan fisik maupun digital) atau memanfaatkan taman bacaan masyarakat dalam kurun waktu tertentu.,[32010026] Wilayah;,-,Persentase,persen,,
10910035,Persentase Penduduk Berumur 10 Tahun ke Atas yang Mengikuti Kegiatan Sosial Kemasyarakatan,,[K01476] Penduduk;,,Bagian dari seluruh penduduk berumur 10 tahun ke atas yang mengikuti kegiatan sosial kemasyarakatan di lingkungan sekitar dalam kurun waktu tertentu.,[32010026] Wilayah;,-,Persentase,persen,,
10910038,Persentase Penduduk Berumur 5 Tahun ke Atas yang Berolahraga,,[K01476] Penduduk; [K01253] Olahraga;,,Bagian dari seluruh penduduk berumur 5 tahun ke atas yang melakukan olahraga dalam kurun waktu tertentu.,[32010026] Wilayah;,-,Persentase,persen,,
10910039,Persentase Penduduk Berumur 5 Tahun ke Atas yang Mengetahui Dongeng/Cerita Rakyat yang Ada di Indonesia,,[K01476] Penduduk; [K01112] Literasi;,,Bagian dari seluruh penduduk berumur 5 tahun ke atas yang yang mengetahui dongeng/cerita rakyat yang ada di Indonesia.,[32010026] Wilayah;,-,Persentase,persen,,
10910041,Persentase Penduduk Berumur 5 Tahun ke Atas yang Mengunjungi Situs Peninggalan Bersejarah/ Kebudayaan,,"[K00091] Anak;
[K02029] Situs Peninggalan Sejarah;",,"Bagian dari seluruh penduduk berumur 5 tahun ke atas yang dalam periode waktu tertentu pernah mengunjungi tempat/peninggalan bersejarah/warisan budaya kebendaaan di Indonesia (seperti: candi, museum, benteng, gua bersejarah, rumah adat, dsb.).",[32010026] Wilayah;,-,Persentase,persen,,
10910040,Persentase Penduduk Berumur 5 Tahun ke Atas yang Menonton Pertunjukan/Pameran Seni,,"[K01476] Penduduk; [K01992] Seni; [K01711]
Pertunjukan/Pameran Seni;",,Bagian dari seluruh penduduk berumur 5 tahun ke atas yang dalam rentang waktu tertentu pernah menonton pertunjukan/pameran seni baik secara langsung maupun tidak langsung.,[32010026] Wilayah;,-,Persentase,persen,,
10910033,Persentase Penduduk Berumur 5 Tahun ke Atas yang Terlibat dalam,,"[K00091] Anak;
[K01711] Pertunjukan/ Pameran Seni;",,Bagian dari seluruh penduduk berumur 5 tahun ke atas yang dalam kurun waktu tertentu pernah terlibat,[32010026] Wilayah;,-,Persentase,persen,,
,Pertunjukan/Pameran/ Produksi Seni dan Tradisi,,,,"dalam setidaknya satu jenis pertunjukan/pameran/produksi seni dan tradisi (film, seni musik/suara, seni rupa, seni sastra, seni tari budaya Indonesia, seni teater/pewayangan, seni lainnya), baik sebagai pelaku maupun pendukung.",,,,,,
10910042,Persentase Penduduk Usia 5 Tahun ke Atas yang Melakukan Kegiatan Olahraga Tradisional,,[K01476] Penduduk; [K01253] Olahraga;,,Bagian dari seluruh penduduk berumur 5 tahun ke atas yang dalam periode waktu tertentu pernah melakukan kegiatan olahraga tradisional.,[32010026] Wilayah;,-,Persentase,persen,,
10910043,Persentase Penduduk Usia 5 Tahun ke Atas yang Melakukan Permainan Rakyat,,[K01476] Penduduk; [K01687] Permainan Rakyat;,,Bagian dari seluruh penduduk berumur 5 tahun ke atas yang melakukan permainan rakyat selama periode waktu tertentu.,[32010026] Wilayah;,-,Persentase,persen,,
10910085,Persentase Perpustakaan yang Dibina Sesuai dengan Standar Nasional Perpustakaan (SNP) dan/atau Memiliki Nomor Pokok Perpustakaan (NPP),,"[K01694]
Perpustakaan;",,Bagian dari seluruh perpustakaan yang telah mendapatkan pembinaan sesuai dengan standar nasional perpustakaan (SNP) dan/atau memiliki nomor pokok perpustakaan (NPP).,"[32010026] Wilayah;
[10920007] Jenis
Perpustakaan;",-,Persentase,persen,,
10910098,Persentase Perpustakaan yang Tergabung dalam Jejaring Nasional Perpustakaan,,"[K01694]
Perpustakaan;",,"Bagian dari seluruh institusi  pengelola koleksi karya tulis, karya cetak, dan/ atau karya rekam secara profesional, yang tergabung dalam portal jejaring nasional perpustakaan.",[32010026] Wilayah;,-,Persentase,persen,,
10910046,Persentase Rumah Tangga yang Bekerja Bersama untuk Membantu Penyelenggaraan Kegiatan Agama atau Kepercayaan yang Berbeda,,"[K01925] Rumah Tangga;
[K00893] Kerukunan Umat Beragama;",,Bagian dari seluruh rumah tangga yang anggota rumah tangganya ada yang pernah bekerja bersama untuk membantu penyelenggaraan kegiatan terkait agama atau kepercayaan yang berbeda di wilayah tempat tinggal.,[32010026] Wilayah;,-,Persentase,persen,,
10910047,Persentase Rumah Tangga yang di Lingkungan Sekitar Tempat Tinggalnya Sering Mengambil Keputusan dengan Musyawarah,,"[K01925]  Rumah Tangga;
[K01202] Musyawarah;",,Bagian dari seluruh rumah tangga yang pengambilan keputusan di lingkungan sekitar rumahnya sering dilakukan dengan cara musyawarah.,[32010026] Wilayah;,-,Persentase,persen,,
10910050,Persentase Rumah Tangga yang Menghadiri atau Menyelenggarakan Upacara Adat,,"[K01925] Rumah Tangga;
[K02252] Upacara Adat;",,"Bagian dari seluruh rumah tangga yang menghadiri atau menyelenggarakan upacara adat yang mencakup kelahiran, sunatan, perkawinan, kematian, seremoni terkait keagamaan, panen, dan upacara adat lainnya pada rentang waktu tertentu.",[32010026] Wilayah;,-,Persentase,persen,,
10910053,Persentase Rumah Tangga yang Setuju Adanya Aturan Tertulis yang Melindungi dan Menjamin Kebebasan Masyarakat dalam Menjalankan Agama dan Kepercayaannya,,[K01925] Rumah Tangga;,,"Bagian dari seluruh rumah tangga yang merasa perlu akan adanya  aturan tertulis seperti peraturan daerah, surat edaran, dsb. untuk melindungi dan menjamin kebebasan masyarakat dalam menjalankan agama atau kepercayaan terhadap Tuhan yang Maha Esa.",[32010026] Wilayah;,-,Persentase,persen,,
10910054,Persentase Rumah Tangga yang Setuju jika Ada Sekelompok Orang dari Agama Lain yang Melakukan Kegiatan Keagamaan di Lingkungan Sekitar Rumah,,"[K01925] Rumah Tangga;
[K02212] Toleransi;",,Bagian dari seluruh rumah tangga yang menyatakan setuju atau sangat setuju jika ada sekelompok orang dari agama lain yang melakukan kegiatan di lingkungan sekitar rumah.,[32010026] Wilayah;,-,Persentase,persen,,
10910055,"Persentase Rumah Tangga yang Setuju jika Pemimpin Berasal dari Suku, Etnis, atau Agama/Kepercayaan yang Berbeda",,"[K01925] Rumah Tangga;
[K01416] Pemimpin; [K02212] Toleransi;",,Bagian dari seluruh rumah tangga yang menyatakan setuju jika dipimpin oleh pemimpin (ketua/kepala) yang berbeda suku bangsa dan berbeda agama atau kepercayaan.,[32010026] Wilayah;,-,Persentase,persen,,
10910056,Persentase Rumah Tangga yang Setuju jika Salah Satu Anggota Rumah Tangga Berteman dengan Orang Lain yang Beda Agama,,"[K01925] Rumah Tangga;
[K02212] Toleransi; [K00011] Agama;",,Bagian dari seluruh rumah tangga yang menyatakan setuju jika salah satu anggota rumah tangga berteman dengan orang lain yang beda agama.,[32010026] Wilayah;,-,Persentase,persen,,
10910057,Persentase Rumah Tangga yang Setuju jika Salah Satu Anggota Rumah Tangga Berteman dengan Orang Lain yang Beda Suku,,"[K01925] Rumah Tangga;
[K02212] Toleransi; [K02070] Suku
Bangsa;",,Bagian dari seluruh rumah tangga yang menyatakan setuju jika salah satu anggota rumah tangga berteman dengan orang lain yang beda suku.,[32010026] Wilayah;,-,Persentase,persen,,
10910058,Persentase Rumah Tangga yang Setuju terhadap Keberadaan atau Rencana Pembangunan Tempat Ibadah Agama/ Kepercayaan Lain di Lingkungan Sekitar Tempat Tinggal,,"[K01925] Rumah Tangga;
[K02212] Toleransi; [K01913] Rumah Ibadat/Rumah Ibadah;",,Bagian dari seluruh rumah tangga yang menyatakan setuju jika ada atau akan dibangun tempat ibadah agama atau kepercayaan lain di lingkungan sekitar.,[32010026] Wilayah;,-,Persentase,persen,,
10910060,Rasio Anggota Perpustakaan,,[K00109] Anggota Perpustakaan;,,Perbandingan jumlah anggota perpustakaan terhadap jumlah populasi sesuai segmentasi jenis perpustakaan.,"[32010026] Wilayah;
[10920007] Jenis
Perpustakaan;",-,Rasio,-,,
10910073,Rasio Ketercukupan Koleksi Perpustakaan,,[K00942] Koleksi Perpustakaan; [K01476] Penduduk;,,"Perbandingan jumlah koleksi perpustakaan, baik tercetak maupun digital, terhadap jumlah penduduk sesuai segmentasi jenis perpustakaan.","[32010026] Wilayah;
[10920007] Jenis
Perpustakaan;",-,Rasio,koleksi per orang,,
10910076,Rasio Ketercukupan Tenaga Perpustakaan,,[K02184] Tenaga Perpustakaan; [K01476] Penduduk;,,Perbandingan jumlah tenaga perpustakaan terhadap jumlah populasi sesuai segmentasi jenis perpustakaan.,"[32010026] Wilayah;
[10920007] Jenis
Perpustakaan;",-,Rasio,-,,
10910080,Rasio Ketersediaan Perpustakaan Khusus,,"[K01694]
Perpustakaan;",,Perbandingan jumlah perpustakaan yang diperuntukkan bagi kalangan terbatas di lingkungan instansi pemerintah pusat/daerah dan instansi,[32010026] Wilayah;,-,Rasio,perpustakaan per orang,,
,,,,,swasta terhadap jumlah penduduk yang bekerja.,,,,,,
10910081,Rasio Ketersediaan Perpustakaan Perguruan Tinggi,,"[K01694]
Perpustakaan;",,"Perbandingan jumlah perpustakaan perguruan tinggi (universitas, institut, sekolah tinggi, politeknik, dan akademi) terhadap jumlah civitas academica.",[32010026] Wilayah;,-,Rasio,perpustakaan per orang,,
10910082,Rasio Ketersediaan Perpustakaan Sekolah/ Madrasah,,"[K01694]
Perpustakaan;",,Perbandingan jumlah unit perpustakaan sekolah/madrasah yang terdapat di suatu wilayah terhadap jumlah peserta didik dan guru di wilayah tersebut.,[32010026] Wilayah;,-,Rasio,perpustakaan per orang,,
10910083,Rasio Ketersediaan Perpustakaan Umum,,"[K01694]
Perpustakaan;",,Perbandingan jumlah unit perpustakaan yang diperuntukkan bagi masyarakat luas terhadap jumlah penduduk.,[32010026] Wilayah;,-,Rasio,perpustakaan per orang,,
10910086,Rasio Tingkat Kunjungan Civitas Academica ke Perpustakaan Perguruan Tinggi per Hari,,"[K00316]  Civitas Academica; [K01694]
Perpustakaan;",,"Perbandingan jumlah kunjungan civitas academica per hari di perpustakaan perguruan tinggi, baik secara luring maupun daring, terhadap jumlah  civitas academica.",[32010026] Wilayah;,-,Rasio,kunjungan per orang,,
10910087,Rasio Tingkat Kunjungan Guru dan Siswa ke Perpustakaan Sekolah/Madrasah per Hari,,"[K00481] Guru; [K02026] Siswa; [K01694]
Perpustakaan;",,"Perbandingan jumlah kunjungan guru dan siswa per hari di perpustakaan sekolah/madrasah, baik secara luring maupun daring, terhadap jumlah guru dan siswa.",[32010026] Wilayah;,-,Rasio,kunjungan per orang,,
10910088,Rasio Tingkat Kunjungan Karyawan/Pegawai ke Perpustakaan Khusus per Hari,,"[K01306] Pekerja; [K01694]
Perpustakaan;",,"Perbandingan jumlah kunjungan karyawan/pegawai per hari di perpustakaan khusus, baik secara luring maupun daring, terhadap jumlah penduduk yang bekerja.",[32010026] Wilayah;,-,Rasio,kunjungan per orang,,
10910089,Rasio Tingkat Kunjungan Masyarakat ke Perpustakaan per Hari,,[K01423] Pemustaka; [K01476] Penduduk;,,"Perbandingan antara rata-rata kunjungan harian perpustakaan, baik secara luring maupun daring, terhadap jumlah penduduk yang disesuaikan dengan segmentasi jenis perpustakaannya.","[32010026] Wilayah;
[10920007] Jenis
Perpustakaan;",-,Rasio,kunjungan per orang,,
11010011,Distribusi Persentase Anggota Legislatif,,[K01077] Lembaga Legislatif;,,Bagian dari populasi anggota legislatif disajikan dalam kelompok-kelompok atau disagregasi tertentu sehingga dapat menggambarkan distribusi anggota legislatif.,[32010026] Wilayah;,-,Persentase,persen,,
11010012,Indeks Demokrasi Indonesia (IDI),,[K00370] Demokrasi;,,Angka yang menggambarkan perkembangan demokrasi Indonesia yang dijadikan acuan dalam penyusunan program pembangunan politik oleh pemerintah pusat maupun daerah.,[32010026] Wilayah;,-,Indeks,-,,
11010013,Indeks Kerawanan Pemilu,,[K00882] Kerawanan Pemilu;,,Angka yang menggambarkan potensi adanya gangguan atau hambatan dalam proses pemilihan umum yang demokratis.,[32010026] Wilayah;,-,Indeks,-,,
11010014,Jumlah Pelanggaran Netralitas ASN,,[K01340] Pelanggaran; [K02369] Netralitas; [K00147] Aparatur Sipil Negara (ASN);,,Banyaknya tindakan pelanggaran ASN terhadap asas ketidakberpihakan pada segala bentuk pengaruh manapun dan kepentingan tertentu.,[32010026] Wilayah;,-,Total,pelanggaran,,
11010006,Persentase Penduduk Berumur 10 Tahun ke Atas yang Mengikuti Kegiatan Organisasi selain di Tempat Kerja/Sekolah,,[K01476] Penduduk; [K01263] Organisasi;,,Bagian dari seluruh penduduk berumur 10 tahun ke atas yang mengikuti kegiatan organisasi selain di tempat kerja/sekolah dalam kurun waktu tertentu.,"[32010026] Wilayah;
[10120066] Umur/Usia;",-,Persentase,persen,,
11010015,"Persentase Penduduk Berumur 10 Tahun ke Atas yang Mengikuti Kegiatan Rapat di
Lingkungan Sekitar",,[K01476] Penduduk;,,"Bagian dari seluruh penduduk berumur 10 tahun ke atas yang mengikuti kegiatan pertemuan (rapat) di lingkungan sekitar dalam kurun
waktu tertentu.",[32010026] Wilayah;,-,Persentase,persen,,
11010016,Persentase Penduduk Berumur 10 Tahun ke Atas yang Mengikuti Kegiatan Rapat di Lingkungan Sekitar dan Memberikan Saran/ Pendapat dalam Rapat Tersebut,,[K01476] Penduduk;,,Bagian dari seluruh penduduk berumur 10 tahun ke atas yang menjadi peserta kegiatan/pertemuan (rapat) di lingkungan sekitar dalam periode waktu tertentu dan pernah memberikan saran/pendapat dalam rapat tersebut.,[32010026] Wilayah;,-,Persentase,persen,,
11010009,Persentase Rumah Tangga yang Mengetahui Wawasan Kebangsaan,,[K01925] Rumah Tangga;,,"Bagian dari seluruh rumah tangga yang mengetahui salah satu dari wawasan kebangsaan, seperti dasar negara, lambang negara, dan lagu kebangsaan Indonesia.",[32010026] Wilayah;,-,Persentase,persen,,
11010007,Persentase Siswa yang Mengikuti Kegiatan Ekstrakurikuler,,"[K02026] Siswa; [K00426]
Ekstrakurikuler;",,Bagian dari seluruh penduduk  berusia 5 tahun ke atas yang masih bersekolah dan pernah atau sedang mengikuti kegiatan ekstrakurikuler.,[32010026] Wilayah;,-,Persentase,persen,,
11110004,Persentase Anak Berumur 5—17 Tahun yang Mengikuti Kursus Selain Bimbingan Belajar,,"[K00091] Anak;
[K01011] Kursus;",,Bagian dari populasi anak berumur 5—17 tahun yang mengikuti kursus/pelatihan/pendidikan keterampilan selain bimbingan belajar.,[32010026] Wilayah;,-,Persentase,persen,,
11110003,"Persentase Penduduk Berumur 15—24 Tahun yang Sedang Tidak Sekolah, Bekerja, atau Mengikuti Pelatihan (NEET)",,[K01476] Penduduk; [K01976] Sekolah; [K00237] Bekerja; [K01354] Pelatihan;,,"Bagian dari populasi penduduk berumur 15—24 tahun yang sedang tidak sekolah, bekerja, atau mengikuti pelatihan.","[32010026] Wilayah;
[32020020] Klasifikasi Wilayah;
[33220007] Jenis
Kelamin; [10320055] Tingkat Pendidikan; [10620071] Status Disabilitas;",-,Persentase,persen,,
21010012,Nilai Kontribusi dalam Forum dan Organisasi Internasional,,[K01264] Organisasi Internasional;,,Nilai kontribusi atau beban pengeluaran keuangan untuk pembayaran keanggotaan Indonesia dalam forum dan organisasi internasional.,[32010026] Wilayah;,-,Nilai,miliar rupiah,,
21010013,Nilai Pendanaan Kegiatan Kerja Sama Pembangunan Internasional,,[K00103] Anggaran; [K01264] Organisasi Internasional;,,"Nilai dana  yang disediakan (dalam rupiah) sebagai bentuk kontribusi Indonesia dalam kegiatan kerja sama pembangunan internasional, termasuk Kerja Sama Selatan-Selatan dan Triangular (KSST).",[32010026] Wilayah;,-,Nilai,rupiah,,
22010001,Distribusi Persentase Produk Domestik Bruto (PDB) Atas Dasar Harga Berlaku (ADHB),,[K01775] Produk Domestik Bruto (PDB);,,Besarnya peranan masing-masing lapangan usaha atau komponen dalam perekonomian nasional.,"[32010026] Wilayah;
[22020004] Jenis
Lapangan Usaha;",-,Persentase,persen,,
22010002,Indeks Harga Implisit Produk Domestik Bruto (PDB),,[K01775] Produk Domestik Bruto (PDB);,,Perbandingan antara PDB atas dasar harga berlaku dengan PDB atas dasar harga konstan.,"[32010026] Wilayah;
[22020004] Jenis
Lapangan Usaha;",-,Indeks,-,,
22010003,Indeks Harga Implisit Produk Domestik Regional Bruto (PDRB),,[K01776] Produk Domestik Regional Bruto (PDRB);,,Perbandingan antara PDRB atas dasar harga berlaku dengan PDRB atas dasar harga konstan.,"[32010026] Wilayah;
[22020004] Jenis
Lapangan Usaha;",-,Indeks,-,,
22010007,Laju Pertumbuhan Produk Domestik Bruto (PDB) Atas Dasar Harga Konstan (ADHK),,"[K01775] Produk Domestik Bruto (PDB); [K01710]
Pertumbuhan Ekonomi;",,Perkembangan nilai tambah barang dan jasa pada tahun tertentu terhadap nilai tahun sebelumnya yang dihitung berdasarkan produk domestik bruto atas dasar harga konstan.,"[32010026] Wilayah;
[22020004] Jenis
Lapangan Usaha;",-,Tingkat,persen,,
22010008,Laju Pertumbuhan Produk Domestik Bruto (PDB) Industri Manufaktur,,[K01775] Produk Domestik Bruto (PDB); [K00595] Industri Manufaktur;,,Pertumbuhan nilai PDB industri manufaktur pada periode waktu tertentu dibandingkan periode waktu sebelumnya.,[32010026] Wilayah;,-,Tingkat,persen,,
22010009,Laju Pertumbuhan Produk Domestik Bruto (PDB) per Kapita,,[K01775] Produk Domestik Bruto (PDB); [K01476] Penduduk;,,Pertumbuhan PDB per kapita pada periode tertentu dibandingkan periode sebelumnya.,[32010026] Wilayah;,-,Tingkat,persen,,
22010010,Laju Pertumbuhan Produk Domestik Bruto (PDB) per Tenaga Kerja,,[K01775] Produk Domestik Bruto (PDB); [K02159] Tenaga Kerja;,,Rata-rata laju pertumbuhan PDB per tenaga kerja dalam periode waktu tertentu.,[32010026] Wilayah;,-,Tingkat,persen,,
22010011,Laju Pertumbuhan Produk Domestik Regional Bruto (PDRB) Atas Dasar Harga Konstan (ADHK),,"[K01776] Produk Domestik Regional Bruto (PDRB); [K01710]
Pertumbuhan Ekonomi;",,Suatu indikator ekonomi makro yang digunakan untuk melihat perubahan produktivitas berdasarkan perkembangan volume produksi barang dan jasa yang diukur menggunakan produk domestik regional bruto (PDRB) atas dasar harga konstan.,"[32010026] Wilayah;
[22020004] Jenis
Lapangan Usaha;",-,Tingkat,persen,,
22010012,Nilai Tambah Bruto (NTB),,[K01228] Nilai Tambah;,,Besarnya pendapatan bersih yang dihitung dari selisih  antara pendapatan bruto dan pengeluaran untuk produksi (konsumsi antara).,[32010026] Wilayah;,-,Nilai,rupiah,,
22010023,Nilai Transaksi Atas Dasar Harga Dasar,,[K02220] Transaksi; [K00500] Harga Dasar;,,"Nilai transaksi barang dan jasa, baik yang berasal dari produksi dalam negeri (output domestik) maupun yang dimpor, yang dinilai berdasarkan",[32010026] Wilayah;,-,Nilai,rupiah,,
,,,,,harga dari produsen barang dan jasa yang bersangkutan tanpa margin perdagangan dan biaya pengangkutan serta pajak dikurangi subsidi atas produk.,,,,,,
22010024,Nilai Transaksi Atas Dasar Harga Pembeli,,[K00501] Harga Konsumen/Harga Eceran;,,"Nilai transaksi barang dan jasa, baik yang berasal dari produksi dalam negeri (output domestik) maupun yang diimpor, yang dinilai atas dasar harga yang dibayar oleh pembeli yang mencakup juga margin perdagangan dan biaya pengangkutan serta pajak dikurangi subsidi atas produk.",[32010026] Wilayah;,-,Nilai,rupiah,,
22010022,Nilai Transaksi Domestik Atas Dasar Harga Dasar,,[K02220] Transaksi; [K00500] Harga Dasar;,,Nilai transaksi atas barang dan jasa yang dihasilkan oleh sektor produksi di dalam negeri saja dan dinilai berdasarkan harga dari produsen barang dan jasa yang bersangkutan tanpa margin perdagangan dan biaya pengangkutan serta pajak dikurangi subsidi atas produk.,[32010026] Wilayah;,-,Nilai,rupiah,,
22010025,Persentase Biaya Logistik Nasional terhadap Produk Domestik Bruto (PDB),,[K01115] Logistik; [K01775] Produk Domestik Bruto (PDB);,,Angka yang menggambarkan kinerja logistik secara makro yang dilihat berdasarkan kontribusi biaya logistik terhadap produk domestik bruto (PDB).,[32010026] Wilayah;,-,Persentase,persen,,
22010013,Persentase Nilai Tambah Sektor Industri Manufaktur Terhadap Produk Domestik Bruto (PDB),,"[K01228] Nilai Tambah; [K00595] Industri Manufaktur; [K01775] Produk
Domestik Bruto (PDB);",,Besarnya kontribusi nilai tambah sektor industri manufaktur terhadap produk domestik bruto (PDB) yang dihitung atas dasar harga konstan.,[32010026] Wilayah;,-,Persentase,persen,,
22010014,Produk Domestik Bruto (PDB) Atas Dasar Harga Berlaku (ADHB),,[K01775] Produk Domestik Bruto (PDB);,,Jumlah nilai tambah barang dan jasa yang dihitung dengan menggunakan harga yang berlaku pada satu tahun tertentu sebagai dasar.,"[32010026] Wilayah;
[22020004] Jenis
Lapangan Usaha;",-,Nilai,miliar rupiah,,
